year,ΔΡΑΜΑΣ,ΚΑΒΑΛΑΣ,ΕΒΡΟΥ,ΞΑΝΘΗΣ,ΡΟΔΟΠΗΣ,ΗΜΑΘΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΙΛΚΙΣ,ΠΕΛΛΗΣ,ΠΙΕΡΙΑΣ,ΣΕΡΡΩΝ,ΧΑΛΚΙΔΙΚΗΣ,ΓΡΕΒΕΝΩΝ,ΚΑΣΤΟΡΙΑΣ,ΚΟΖΑΝΗΣ,ΦΛΩΡΙΝΗΣ,ΚΑΡΔΙΤΣΗΣ,ΛΑΡΙΣΗΣ,ΜΑΓΝΗΣΙΑΣ,ΤΡΙΚΑΛΩΝ,ΑΡΤΗΣ,ΘΕΣΠΡΩΤΙΑΣ,ΙΩΑΝΝΙΝΩΝ,ΠΡΕΒΕΖΗΣ,ΖΑΚΥΝΘΟΥ,ΚΕΡΚΥΡΑΣ,ΚΕΦΑΛΛΗΝΙΑΣ,ΛΕΥΚΑΔΟΣ,ΑΙΤΩΛΙΑΣ_ΚΑΙ_ΑΚΑΡΝΑΝΙΑΣ,ΑΧΑΙΑΣ,ΗΛΕΙΑΣ,ΒΟΙΩΤΙΑΣ,ΕΥΒΟΙΑΣ,ΕΥΡΥΤΑΝΙΑΣ,ΦΘΙΩΤΙΔΟΣ,ΦΩΚΙΔΟΣ,ΑΡΓΟΛΙΔΟΣ,ΑΡΚΑΔΙΑΣ,ΚΟΡΙΝΘΙΑΣ,ΛΑΚΩΝΙΑΣ,ΜΕΣΣΗΝΙΑΣ,ΛΕΣΒΟΥ,ΣΑΜΟΥ,ΧΙΟΥ,ΔΩΔΕΚΑΝΗΣΟΥ,ΚΥΚΛΑΔΩΝ,ΗΡΑΚΛΕΙΟΥ,ΛΑΣΙΘΙΟΥ,ΡΕΘΥΜΝΗΣ,ΧΑΝΙΩΝ,ΑΤΤΙΚΗ
2000-12-31,890,1352,1258,1330,1017,1450,11390,639,1411,1279,1508,921,257,453,1595,552,960,2808,1794,1124,527,354,1248,447,375,970,331,178,2153,3117,1309,1036,1820,104,1330,257,917,705,1265,748,1400,972,360,465,2023,1046,3262,717,908,1437,36977
2001-12-31,874,1269,1239,1358,1057,1473,11094,717,1388,1299,1444,968,267,402,1430,529,902,2692,1772,1052,517,325,1291,414,422,888,345,182,2000,2951,1289,1011,1853,99,1333,294,873,664,1283,745,1310,948,308,445,2167,1106,3345,754,971,1497,36967
2002-12-31,879,1296,1297,1311,1013,1456,11631,663,1429,1262,1402,988,211,414,1498,526,943,2878,1938,1024,473,344,1318,443,424,897,299,170,2124,3155,1187,1038,1854,117,1383,267,857,652,1262,700,1314,967,341,424,2140,1101,3369,698,892,1513,37481
2003-12-31,828,1264,1283,1341,1009,1474,11204,680,1311,1236,1393,990,219,450,1449,542,910,2825,1931,1090,498,319,1248,428,403,944,346,185,1974,3320,1129,1174,1999,118,1293,236,887,677,1276,734,1371,920,347,432,2239,1142,3528,707,974,1476,38446
2004-12-31,869,1248,1330,1317,1010,1469,11604,683,1351,1159,1302,981,249,425,1410,476,929,2913,1882,1059,503,334,1441,467,460,970,337,204,1940,3296,1209,1106,1990,114,1394,228,940,686,1278,730,1345,923,309,457,2208,1130,3581,761,994,1542,38901
2005-12-31,863,1314,1420,1354,1087,1488,11835,737,1349,1303,1305,1021,208,458,1452,450,893,3104,2000,1098,504,346,1431,538,467,992,371,184,2032,3315,1208,1108,1934,127,1378,262,932,702,1378,747,1361,929,367,419,2191,1121,3639,734,972,1556,39182
2006-12-31,942,1298,1404,1441,1123,1524,12530,718,1340,1300,1242,1127,225,477,1446,488,912,3265,2054,1217,577,371,1575,482,507,993,366,210,1969,3307,1318,1158,2084,127,1441,261,1004,738,1439,715,1460,923,365,460,2237,1141,3796,847,1023,1733,40925
2007-12-31,802,1301,1497,1428,1080,1588,12464,757,1319,1310,1308,1149,220,399,1491,512,908,3172,1993,1152,516,376,1491,522,476,960,383,190,1893,3246,1295,1197,1936,114,1388,285,1035,639,1468,744,1445,995,376,495,2235,1249,3914,788,1055,1743,41218
2008-12-31,878,1378,1597,1398,1075,1617,13124,847,1378,1467,1310,1229,227,431,1529,509,996,3380,2147,1244,566,412,1637,537,537,1138,419,247,2120,3562,1515,1244,2191,122,1488,293,1002,703,1615,783,1511,1022,388,561,2310,1321,4155,860,1076,1918,42899
2009-12-31,901,1407,1599,1530,1005,1617,13145,755,1447,1397,1391,1123,235,429,1528,513,1020,3388,2124,1151,539,465,1703,509,447,1057,403,227,2044,3636,1453,1135,2149,128,1537,261,1072,750,1575,776,1482,1050,353,511,2398,1304,4135,814,1095,1895,42831
