year,ΔΡΑΜΑΣ,ΚΑΒΑΛΑΣ,ΕΒΡΟΥ,ΞΑΝΘΗΣ,ΡΟΔΟΠΗΣ,ΗΜΑΘΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΙΛΚΙΣ,ΠΕΛΛΗΣ,ΠΙΕΡΙΑΣ,ΣΕΡΡΩΝ,ΧΑΛΚΙΔΙΚΗΣ,ΓΡΕΒΕΝΩΝ,ΚΑΣΤΟΡΙΑΣ,ΚΟΖΑΝΗΣ,ΦΛΩΡΙΝΗΣ,ΚΑΡΔΙΤΣΗΣ,ΛΑΡΙΣΗΣ,ΜΑΓΝΗΣΙΑΣ,ΤΡΙΚΑΛΩΝ,ΑΡΤΗΣ,ΘΕΣΠΡΩΤΙΑΣ,ΙΩΑΝΝΙΝΩΝ,ΠΡΕΒΕΖΗΣ,ΖΑΚΥΝΘΟΥ,ΚΕΡΚΥΡΑΣ,ΚΕΦΑΛΛΗΝΙΑΣ,ΛΕΥΚΑΔΟΣ,ΑΙΤΩΛΙΑΣ_ΚΑΙ_ΑΚΑΡΝΑΝΙΑΣ,ΑΧΑΙΑΣ,ΗΛΕΙΑΣ,ΒΟΙΩΤΙΑΣ,ΕΥΒΟΙΑΣ,ΕΥΡΥΤΑΝΙΑΣ,ΦΘΙΩΤΙΔΟΣ,ΦΩΚΙΔΟΣ,ΑΡΓΟΛΙΔΟΣ,ΑΡΚΑΔΙΑΣ,ΚΟΡΙΝΘΙΑΣ,ΛΑΚΩΝΙΑΣ,ΜΕΣΣΗΝΙΑΣ,ΛΕΣΒΟΥ,ΣΑΜΟΥ,ΧΙΟΥ,ΔΩΔΕΚΑΝΗΣΟΥ,ΚΥΚΛΑΔΩΝ,ΗΡΑΚΛΕΙΟΥ,ΛΑΣΙΘΙΟΥ,ΡΕΘΥΜΝΗΣ,ΧΑΝΙΩΝ,ΑΤΤΙΚΗ
2000-12-31,1080,1419,1617,938,1087,1320,8377,955,1420,1180,2356,932,398,479,1349,613,1532,2619,2073,1518,922,485,1655,561,435,1235,465,328,2421,2867,1966,1297,2137,257,1891,490,1052,1329,1427,1312,2172,1421,550,657,1295,1073,2425,867,750,1472,34086
2001-12-31,1172,1552,1568,868,1096,1369,8106,953,1376,1141,2223,910,395,508,1363,552,1543,2572,2017,1583,855,427,1577,614,379,1110,441,286,2251,2825,2039,1222,2231,235,1837,498,1015,1327,1435,1094,2126,1337,546,589,1317,1023,2419,831,738,1358,33079
2002-12-31,1101,1588,1581,785,1146,1338,8346,957,1373,1086,2243,1008,414,449,1471,512,1564,2607,2232,1572,920,428,1631,636,418,1346,431,287,2154,2849,1822,1286,2191,272,1914,539,1011,1260,1446,1237,2054,1311,520,641,1336,1135,2352,835,813,1481,33410
2003-12-31,1139,1484,1689,887,1096,1347,8650,877,1411,1222,2307,974,398,516,1490,550,1532,2485,2043,1582,897,469,1656,569,434,1240,463,315,2392,2931,1917,1259,2296,238,1864,524,954,1318,1491,1143,2100,1313,559,699,1430,1101,2439,907,793,1470,34165
2004-12-31,1099,1551,1633,874,1092,1379,8598,923,1470,1205,2251,974,356,496,1502,583,1531,2663,2188,1632,926,407,1620,614,422,1226,434,290,2294,2928,1950,1232,2362,201,1871,502,1078,1201,1514,1027,2000,1313,522,625,1360,1014,2362,854,745,1363,34182
2005-12-31,1105,1593,1636,936,1158,1377,8813,984,1449,1180,2309,990,407,485,1461,563,1486,2511,2088,1457,906,462,1615,596,381,1181,430,293,2288,3021,2006,1237,2161,274,1853,451,1030,1203,1459,1029,2008,1237,562,614,1425,1033,2365,873,827,1464,34234
2006-12-31,1101,1612,1699,886,1156,1333,8879,1005,1506,1206,2360,1014,393,500,1506,525,1439,2575,2006,1553,893,489,1579,642,407,1279,435,289,2319,3018,1929,1222,2220,239,1871,478,1057,1183,1566,1133,2039,1348,494,598,1378,1017,2535,821,727,1550,33959
2007-12-31,1186,1654,1694,962,1155,1479,9434,1014,1325,1284,2504,1048,398,499,1523,562,1600,2767,2227,1586,902,436,1675,651,407,1241,433,266,2350,3107,1954,1401,2317,249,1846,503,1102,1253,1618,1165,1989,1382,507,561,1477,1034,2580,848,790,1528,35880
2008-12-31,1144,1574,1720,895,1169,1505,9216,1028,1508,1247,2447,1049,456,557,1464,600,1499,2720,2159,1628,899,499,1744,649,408,1337,440,321,2380,3016,1924,1257,2234,233,1855,533,1156,1211,1504,1116,2009,1261,500,562,1453,964,2542,827,715,1476,34858
2009-12-31,1207,1667,1722,925,1132,1349,9303,1048,1567,1250,2414,1028,427,503,1539,565,1588,2684,2231,1626,905,486,1624,626,383,1282,410,318,2318,3053,2002,1292,2052,214,1827,474,1115,1186,1535,1100,2066,1289,474,632,1435,1070,2513,853,666,1402,35443
2010-12-31,1254,1671,1778,1011,1198,1496,9414,1036,1674,1302,2614,974,418,546,1505,635,1571,2699,2037,1683,919,473,1587,536,445,1069,417,312,2353,3107,1881,1348,2010,199,1832,471,1129,1170,1639,1115,1908,1282,413,654,1461,1064,2601,846,700,1426,35564
2011-12-31,1209,1649,1777,972,1165,1571,9394,1069,1666,1281,2461,982,452,548,1512,612,1592,2808,2209,1683,934,515,1621,691,377,1151,464,274,2470,3013,1903,1290,2365,233,1926,491,1096,1079,1680,1143,2031,1225,467,571,1507,1183,2511,882,724,1575,36472
2012-12-31,1330,1641,1873,1010,1268,1629,10079,1205,1688,1389,2804,1144,458,511,1698,632,1588,2903,2257,1850,971,490,1750,683,440,1291,436,331,2494,3221,1991,1392,2486,241,1972,503,1239,1208,1679,1150,2134,1388,543,576,1589,1080,2710,845,780,1546,37917
2013-12-31,1231,1717,1807,1003,1283,1548,9686,1139,1660,1351,2567,1113,447,570,1572,607,1508,2727,2228,1664,966,494,1712,671,404,1279,413,283,2360,3023,1984,1279,2185,218,1838,448,1161,1105,1605,1053,1929,1304,456,543,1503,1055,2496,834,745,1505,36881
2014-12-31,1242,1671,1818,1002,1283,1688,10141,1149,1699,1298,2630,1111,404,529,1608,603,1533,2848,2222,1721,886,435,1762,624,384,1300,419,323,2368,3097,1846,1233,2450,219,1888,440,1159,1069,1599,1098,1992,1263,532,562,1547,1191,2739,816,727,1510,37354
2015-12-31,1400,1777,1964,1052,1224,1781,10748,1156,1765,1388,2882,1153,480,598,1631,655,1612,2960,2242,1702,1009,541,1793,726,480,1392,504,324,2523,3256,2046,1294,2555,214,2047,467,1171,1094,1842,1195,2246,1339,517,629,1640,1157,2846,907,781,1627,40214
2016-12-31,1267,1757,1901,1024,1276,1699,10820,1120,1711,1561,2724,1134,417,543,1639,617,1720,3016,2219,1691,897,518,1810,678,450,1336,439,340,2532,3183,1865,1313,2479,232,1978,438,1157,1138,1627,1161,1976,1233,546,614,1602,1203,2849,865,699,1549,39510
2017-12-31,1433,1856,2031,1099,1425,1815,11184,1240,1877,1547,2677,1180,389,625,1736,636,1707,3024,2391,1786,973,515,1821,767,458,1423,498,321,2610,3293,1949,1424,2648,233,2017,469,1224,1112,1817,1253,2228,1274,564,619,1665,1183,3038,902,800,1654,41342
2018-12-31,1310,1793,1914,1071,1296,1675,11035,1184,1838,1542,2718,1153,439,535,1663,612,1492,3004,2295,1735,1003,522,1750,702,463,1395,428,325,2456,3257,1852,1333,2586,228,2036,435,1220,1065,1870,1137,2026,1276,529,567,1580,1176,2822,860,781,1522,39887
2019-12-31,1421,1813,1931,1102,1346,1822,11340,1187,1933,1616,2764,1233,436,581,1771,682,1625,3253,2350,1760,1010,556,1817,772,477,1379,473,329,2650,3376,1979,1388,2749,230,2077,499,1289,1109,1845,1207,2094,1247,497,644,1762,1189,3013,942,795,1668,41062
2020-12-31,1806,2125,2009,1317,1453,2057,12711,1363,2313,1934,3218,1386,578,671,1873,686,1752,3387,2667,1922,1019,596,1829,765,471,1370,464,346,2667,3377,2025,1392,2601,236,2097,493,1274,1233,1868,1112,2084,1300,522,605,1716,1252,3002,885,819,1659,42362
