year,ΔΡΑΜΑΣ,ΕΒΡΟΥ,ΚΑΒΑΛΑΣ,ΞΑΝΘΗΣ,ΡΟΔΟΠΗΣ,ΗΜΑΘΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΙΛΚΙΣ,ΠΕΛΛΗΣ,ΠΙΕΡΙΑΣ,ΣΕΡΡΩΝ,ΧΑΛΚΙΔΙΚΗΣ,ΓΡΕΒΕΝΩΝ,ΚΑΣΤΟΡΙΑΣ,ΚΟΖΑΝΗΣ,ΦΛΩΡΙΝΗΣ,ΚΑΡΔΙΤΣΗΣ,ΛΑΡΙΣΗΣ,ΜΑΓΝΗΣΙΑΣ,ΤΡΙΚΑΛΩΝ,ΑΡΤΗΣ,ΘΕΣΠΡΩΤΙΑΣ,ΙΩΑΝΝΙΝΩΝ,ΠΡΕΒΕΖΗΣ,ΖΑΚΥΝΘΟΥ,ΚΕΡΚΥΡΑΣ,ΚΕΦΑΛΛΗΝΙΑΣ,ΛΕΥΚΑΔΟΣ,ΑΙΤΩΛΙΑΣ_ΚΑΙ_ΑΚΑΡΝΑΝΙΑΣ,ΑΧΑΙΑΣ,ΗΛΕΙΑΣ,ΒΟΙΩΤΙΑΣ,ΕΥΒΟΙΑΣ,ΕΥΡΥΤΑΝΙΑΣ,ΦΘΙΩΤΙΔΟΣ,ΦΩΚΙΔΟΣ,ΑΡΓΟΛΙΔΟΣ,ΑΡΚΑΔΙΑΣ,ΚΟΡΙΝΘΙΑΣ,ΛΑΚΩΝΙΑΣ,ΜΕΣΣΗΝΙΑΣ,ΛΕΣΒΟΥ,ΣΑΜΟΥ,ΧΙΟΥ,ΔΩΔΕΚΑΝΗΣΟΥ,ΚΥΚΛΑΔΩΝ,ΗΡΑΚΛΕΙΟΥ,ΛΑΣΙΘΙΟΥ,ΡΕΘΥΜΝΗΣ,ΧΑΝΙΩΝ,ΑΤΤΙΚΗ
2000-12-31,417.0,744.0,606.0,699.0,721.0,684.0,5343.0,378.0,636.0,601.0,857.0,410.0,144.0,205.0,640.0,256.0,417.0,1180.0,823.0,576.0,257.0,200.0,569.0,208.0,117.0,398.0,125.0,72.0,812.0,1229.0,544.0,362.0,795.0,49.0,498.0,88.0,375.0,283.0,476.0,311.0,564.0,405.0,160.0,202.0,842.0,419.0,1257.0,284.0,330.0,578.0,17930.0
2001-12-31,496.0,846.0,683.0,743.0,797.0,734.0,5919.0,469.0,707.0,653.0,898.0,449.0,150.0,224.0,736.0,276.0,522.0,1430.0,991.0,649.0,295.0,237.0,721.0,299.0,192.0,493.0,150.0,83.0,929.0,1585.0,619.0,518.0,952.0,63.0,674.0,131.0,445.0,333.0,615.0,351.0,669.0,519.0,216.0,246.0,1017.0,589.0,1674.0,417.0,454.0,737.0,21785.0
2002-12-31,465.0,828.0,680.0,746.0,723.0,781.0,6023.0,426.0,733.0,654.0,880.0,496.0,130.0,243.0,712.0,293.0,501.0,1399.0,993.0,623.0,288.0,188.0,682.0,269.0,181.0,508.0,174.0,104.0,884.0,1550.0,602.0,528.0,1002.0,56.0,664.0,134.0,457.0,327.0,565.0,365.0,675.0,473.0,196.0,267.0,1129.0,573.0,1622.0,379.0,416.0,760.0,21146.0
2003-12-31,471.0,853.0,710.0,778.0,720.0,755.0,6273.0,392.0,715.0,603.0,879.0,476.0,122.0,248.0,759.0,232.0,517.0,1555.0,985.0,616.0,289.0,207.0,735.0,271.0,241.0,607.0,169.0,91.0,949.0,1712.0,623.0,579.0,1144.0,79.0,744.0,106.0,472.0,376.0,629.0,317.0,708.0,508.0,249.0,282.0,1190.0,594.0,1759.0,409.0,476.0,800.0,22833.0
2004-12-31,464.0,764.0,618.0,706.0,661.0,705.0,5490.0,392.0,579.0,588.0,720.0,402.0,131.0,207.0,677.0,235.0,467.0,1345.0,884.0,524.0,250.0,190.0,643.0,233.0,152.0,384.0,124.0,67.0,757.0,1481.0,530.0,461.0,910.0,52.0,573.0,96.0,395.0,270.0,526.0,269.0,543.0,405.0,179.0,241.0,1028.0,469.0,1447.0,309.0,356.0,624.0,18444.0
2005-12-31,380.0,810.0,669.0,743.0,650.0,704.0,6326.0,386.0,661.0,664.0,771.0,497.0,133.0,226.0,738.0,234.0,536.0,1435.0,1016.0,630.0,299.0,187.0,759.0,234.0,235.0,595.0,176.0,123.0,913.0,1793.0,612.0,565.0,1066.0,91.0,642.0,122.0,427.0,348.0,704.0,347.0,697.0,483.0,240.0,271.0,1159.0,537.0,1757.0,400.0,433.0,767.0,22852.0
2006-12-31,450.0,754.0,645.0,630.0,650.0,729.0,5974.0,374.0,615.0,623.0,748.0,424.0,121.0,208.0,711.0,263.0,473.0,1390.0,994.0,588.0,307.0,206.0,714.0,249.0,217.0,522.0,191.0,78.0,873.0,1644.0,593.0,529.0,966.0,50.0,655.0,119.0,435.0,346.0,688.0,310.0,680.0,534.0,179.0,303.0,1000.0,552.0,1712.0,353.0,411.0,831.0,20950.0
2007-12-31,454.0,771.0,656.0,718.0,614.0,756.0,6253.0,412.0,705.0,681.0,809.0,477.0,115.0,246.0,719.0,227.0,485.0,1364.0,1036.0,592.0,294.0,211.0,764.0,259.0,212.0,565.0,167.0,88.0,923.0,1850.0,673.0,501.0,1033.0,58.0,649.0,154.0,498.0,351.0,693.0,342.0,653.0,501.0,204.0,321.0,1158.0,593.0,1804.0,389.0,455.0,834.0,22868.0
2008-12-31,437.0,676.0,613.0,686.0,615.0,612.0,5840.0,383.0,598.0,592.0,707.0,467.0,106.0,179.0,625.0,243.0,469.0,1213.0,865.0,557.0,229.0,170.0,706.0,250.0,175.0,549.0,141.0,85.0,826.0,1583.0,588.0,454.0,976.0,57.0,584.0,94.0,413.0,271.0,599.0,288.0,540.0,422.0,170.0,228.0,988.0,536.0,1620.0,325.0,376.0,766.0,18954.0
2009-12-31,448.0,720.0,635.0,709.0,577.0,673.0,6294.0,398.0,667.0,657.0,738.0,515.0,115.0,242.0,728.0,245.0,525.0,1352.0,1000.0,582.0,303.0,208.0,728.0,253.0,189.0,540.0,195.0,89.0,932.0,1770.0,575.0,518.0,929.0,71.0,641.0,117.0,469.0,379.0,722.0,344.0,592.0,526.0,209.0,294.0,1171.0,665.0,1745.0,389.0,434.0,861.0,21480.0
2010-12-31,445.0,695.0,599.0,667.0,505.0,603.0,5969.0,377.0,650.0,624.0,697.0,434.0,115.0,218.0,723.0,236.0,457.0,1256.0,915.0,569.0,270.0,185.0,687.0,247.0,168.0,521.0,179.0,93.0,842.0,1621.0,617.0,507.0,861.0,69.0,569.0,127.0,437.0,337.0,595.0,279.0,581.0,514.0,212.0,283.0,1112.0,591.0,1764.0,359.0,408.0,899.0,20446.0
2011-12-31,442.0,616.0,629.0,605.0,547.0,572.0,5634.0,407.0,570.0,567.0,630.0,414.0,124.0,203.0,654.0,227.0,472.0,1247.0,831.0,527.0,279.0,177.0,706.0,249.0,209.0,556.0,193.0,95.0,831.0,1584.0,589.0,497.0,970.0,64.0,582.0,111.0,456.0,358.0,600.0,331.0,587.0,506.0,202.0,281.0,1103.0,643.0,1710.0,341.0,427.0,840.0,19771.0
2012-12-31,426.0,637.0,579.0,548.0,529.0,537.0,5148.0,321.0,611.0,513.0,668.0,415.0,109.0,214.0,591.0,165.0,374.0,1123.0,762.0,486.0,246.0,167.0,641.0,209.0,152.0,441.0,150.0,98.0,762.0,1582.0,479.0,412.0,840.0,54.0,548.0,111.0,367.0,277.0,526.0,290.0,526.0,410.0,193.0,269.0,969.0,569.0,1497.0,300.0,421.0,765.0,17091.0
2013-12-31,387.0,591.0,592.0,552.0,490.0,566.0,4929.0,291.0,597.0,509.0,606.0,406.0,87.0,206.0,614.0,203.0,381.0,1199.0,813.0,498.0,249.0,160.0,704.0,218.0,175.0,520.0,194.0,85.0,780.0,1635.0,500.0,491.0,937.0,66.0,499.0,114.0,430.0,278.0,552.0,322.0,519.0,494.0,184.0,259.0,999.0,531.0,1523.0,341.0,387.0,724.0,17964.0
2014-12-31,433.0,653.0,609.0,610.0,478.0,525.0,4983.0,273.0,579.0,513.0,640.0,400.0,74.0,220.0,677.0,219.0,433.0,1174.0,829.0,532.0,215.0,167.0,680.0,239.0,193.0,478.0,165.0,115.0,758.0,1434.0,514.0,475.0,956.0,53.0,591.0,112.0,415.0,323.0,608.0,287.0,561.0,467.0,222.0,278.0,1056.0,590.0,1537.0,309.0,393.0,806.0,18514.0
