year,ΔΡΑΜΑΣ,ΕΒΡΟΥ,ΚΑΒΑΛΑΣ,ΞΑΝΘΗΣ,ΡΟΔΟΠΗΣ,ΗΜΑΘΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΙΛΚΙΣ,ΠΕΛΛΗΣ,ΠΙΕΡΙΑΣ,ΣΕΡΡΩΝ,ΧΑΛΚΙΔΙΚΗΣ,ΓΡΕΒΕΝΩΝ,ΚΑΣΤΟΡΙΑΣ,ΚΟΖΑΝΗΣ,ΦΛΩΡΙΝΗΣ,ΚΑΡΔΙΤΣΗΣ,ΛΑΡΙΣΗΣ,ΜΑΓΝΗΣΙΑΣ,ΤΡΙΚΑΛΩΝ,ΑΡΤΗΣ,ΘΕΣΠΡΩΤΙΑΣ,ΙΩΑΝΝΙΝΩΝ,ΠΡΕΒΕΖΗΣ,ΖΑΚΥΝΘΟΥ,ΚΕΡΚΥΡΑΣ,ΚΕΦΑΛΛΗΝΙΑΣ,ΛΕΥΚΑΔΟΣ,ΑΙΤΩΛΙΑΣ_ΚΑΙ_ΑΚΑΡΝΑΝΙΑΣ,ΑΧΑΙΑΣ,ΗΛΕΙΑΣ,ΒΟΙΩΤΙΑΣ,ΕΥΒΟΙΑΣ,ΕΥΡΥΤΑΝΙΑΣ,ΦΘΙΩΤΙΔΟΣ,ΦΩΚΙΔΟΣ,ΑΡΓΟΛΙΔΟΣ,ΑΡΚΑΔΙΑΣ,ΚΟΡΙΝΘΙΑΣ,ΛΑΚΩΝΙΑΣ,ΜΕΣΣΗΝΙΑΣ,ΛΕΣΒΟΥ,ΣΑΜΟΥ,ΧΙΟΥ,ΔΩΔΕΚΑΝΗΣΟΥ,ΚΥΚΛΑΔΩΝ,ΗΡΑΚΛΕΙΟΥ,ΛΑΣΙΘΙΟΥ,ΡΕΘΥΜΝΗΣ,ΧΑΝΙΩΝ,ΑΤΤΙΚΗ
2020-12-31,10306.686203577952,12412.079334624244,14224.64961838458,9902.276845637807,10382.021239238746,11460.29668254403,15177.031378020469,11577.38264974286,12579.290522265348,11554.01985756238,10910.11251241546,14537.950569779026,9765.27344134964,11093.444412667495,15603.978527649097,15999.2754351396,11233.932832384222,14986.34996809258,13509.385949112,11822.129476333652,12097.979725316218,13006.2391933669,12137.712829538865,12232.005214645898,20229.073148059644,16335.42724329257,15920.22505543993,13449.660980538205,11842.45541378759,13916.814071138817,12228.461314839868,23785.94569169451,14058.316339931022,10620.339464166009,13672.40472424669,11252.217613845178,15719.54800884127,18622.159676970245,14286.041806197078,13009.791393452546,13030.445210992157,11250.508335256529,11497.78367347526,11129.7859517873,16731.128191863445,24128.261979767187,14459.732446859203,17448.324178275576,14872.7939182659,15738.760542194732,24025.593803444084
2021-12-31,10518.604682203792,12477.296270494791,14319.420278481048,9990.83561355511,10344.717403569452,11648.132941629747,15967.699534127858,11616.530475298398,12682.455147699375,11720.548856729449,11100.736084571552,14924.0682466416,9631.560835806544,11397.966142204634,15199.951914830615,15753.407892192276,11490.233976426827,15471.307524845775,13817.657429864748,12007.240353650035,12297.228296260448,13176.493345692688,12266.017919894575,12301.268441056607,20754.648240171544,16607.54999261935,16115.26653088629,13715.578341043867,12012.622989696716,14334.705290179423,12445.280682039553,24062.298607976063,14551.180916516128,11024.752200245855,13724.844586388352,11299.427300190257,15933.18099382257,18896.670951152155,14381.790091536255,12995.098955192232,13225.210805221352,11175.583200040595,11776.683605370376,11121.075704833149,17208.243387875074,25116.5590046429,14852.009154289784,17768.615764379745,15244.9195615542,16191.660393127191,24830.07274280557
2022-12-31,10573.815125673917,12511.520283857606,14332.162387966591,10069.906357405463,10266.27802008562,11842.985306454595,16951.13044675306,11644.547358510106,12715.573329975101,11854.740521251195,11380.095947237482,15204.82550558637,9536.838458207732,11624.179878830058,14593.413292566172,15281.535047258058,11709.905070237384,15705.437304474528,14011.982509839449,12192.65776784679,12496.50809155568,13325.721735332823,12394.42507504859,12419.911815478215,21047.565458384855,16701.854215690975,16280.975434567672,13981.954202483848,12182.94944008029,14640.639478223758,12662.529439481947,24362.722277596276,15086.510553080856,11282.64460978624,13769.405572655396,11339.00401331312,16146.94398508854,19221.33497374629,14483.428517268056,12908.49491150136,13420.036574464702,11158.33114526125,12167.410792121158,10925.262952282894,17595.430446685616,26232.853289926607,15184.34757364666,18089.14981007058,15424.88026860586,16471.521726362436,25706.25254628568
2023-12-31,10447.081246735275,12529.480083333356,14290.767953855948,10140.505606695911,10175.833834842382,12020.435772221468,18087.93003458374,11664.598171901644,12547.151599834913,11956.422519899297,11632.86106509936,15337.702035417382,9491.005976386234,11850.399742195244,14444.971373242584,15184.816797409208,11918.754286526571,15871.508214301812,14104.100503929518,12378.37968526052,12695.819047872428,13456.52096677815,12522.933947672243,12560.982923082403,20906.773126342337,16668.14004044455,16421.763134703982,14248.78477232655,12353.4340357535,14826.958806559223,12880.204113368214,24297.044020379897,15570.85654953599,11499.147374728762,13807.271452083667,11372.181870292736,16360.836524282391,19549.599197688007,14557.666737755551,12818.42290130896,13614.92235829586,11179.9077939071,12534.089121726156,10894.318147740398,17898.31763599067,27219.496561710155,15408.101879934342,18409.925103375856,15437.529227987912,16568.49562345145,26606.23485099901
2024-12-31,10593.022824600595,12538.90488088091,14260.588359516092,10203.540981825408,10115.082011256782,12163.568367152993,19355.85485934541,11678.947916469027,12332.847933942896,12020.280842163116,11803.777102081816,15304.913554895094,9390.889385318947,12076.62572625096,14232.898017287607,15057.23697690102,12124.643357054592,15763.398299851437,14118.161202313531,12564.404085719798,12895.161102009646,13571.166973398904,12651.544191618848,12670.93093030509,20600.28523404244,16561.356313434146,16541.37756741897,14516.066289410639,12524.07605087826,14906.29212094854,13098.301258002819,24095.67013899555,15935.612442561309,11525.67625637886,13839.44813722892,11399.995453253568,16574.85815466335,19867.119360394023,14632.419073059014,12736.585110318996,13809.867996716188,11235.654381578235,12754.719251917686,11043.347112537462,18089.607074814456,28259.763534388312,15507.662436534416,18730.940438381578,15331.601525446697,16486.079813161537,27486.1283159894
2025-12-31,10661.166927181996,12543.850749510026,14257.332142070563,10259.822862407009,10038.540880934615,12263.274807897564,20725.45932127112,11689.217583096919,12122.085321876308,12042.888052223727,12025.881198183804,15115.67406665568,9279.104445545525,12302.857824953946,14029.10616730492,15039.140804128485,12329.96499229029,15574.707753769548,14081.936769550675,12750.728962455662,13094.534190894483,13671.654619150706,12780.255461919642,12771.682169644871,20094.573089423335,16429.3185306026,16643.00301126013,14783.795023685563,12694.87476294786,14902.863969746262,13316.81745556615,23741.040257989844,16138.751807680444,11477.94057764402,13866.790406379116,11423.31207064674,16789.00842110094,20177.05747051289,14699.416475049504,12672.201048684816,14004.873330153598,11317.216409260587,12777.675402272152,11075.882544102691,18157.93357174369,29254.189318458826,15486.727451961258,19052.194615201715,15163.250059173675,16264.139854144629,28308.693545001894
2026-12-31,10563.061670112964,12546.446202237054,14262.997530204088,10310.07480546746,9976.833709870483,12317.576246579578,22174.1618362972,11696.56726462977,11887.873211281163,12025.007863290763,12201.537096003236,14804.073406590269,9178.7091696622,12529.096032266909,13943.33168461752,15022.56423739799,12535.44528583741,15200.459400150052,14020.82242128835,12937.352322012694,13293.938251582,13759.732409615255,12909.067414779824,12887.885629742035,19630.11584306682,16306.431286499166,16729.344856483116,15051.967275954225,12865.82945277168,14845.008760817616,13535.749315889014,23278.736861787816,16165.256368169574,11277.932965740803,13890.024610863107,11442.858802451312,17003.28687006933,20485.081213480986,14766.232159803822,12631.16189757808,14199.938199461418,11420.3462408305,12636.97438992118,10951.248511852207,18107.60341394328,30271.56689552671,15369.089225851689,19373.68643994804,14983.215879995409,15957.7930558125,29045.20158846212
2027-12-31,10670.355068258676,12547.808222816931,14263.861356710133,10354.942847459944,9920.981242967173,12330.260708596401,23678.849658711937,11701.827203495519,11712.112872963056,11971.884369176276,12357.407616665743,14423.015209073768,9088.37375044293,12755.34034215852,13848.639846108132,15038.974991229885,12741.30246981573,14836.939468397228,13954.544606992684,13124.272184160694,13493.373221254933,13836.932916354936,13037.979707574514,13007.387461197184,19205.638238219097,16212.31491912872,16802.701625759935,15320.579377617756,13036.939404459948,14759.593309587635,13755.093476228933,22827.747223611925,16025.282703339264,11050.939792126495,13909.767970678582,11459.245172643745,17217.693049641646,20793.88111786212,14830.83918268364,12615.706314925472,14395.062445917269,11540.66548425778,12426.954408487103,10911.592677982826,17956.5079594504,31273.571792701245,15189.51810274504,19695.414724700167,14828.9361355947,15629.760622208609,29676.467138282096
2028-12-31,10747.914122786222,12548.522972902996,14260.357346134311,10395.003809676213,9867.424323917625,12309.149053779422,25220.246608731548,11705.591578420848,11625.867764838747,11892.517437043849,12533.946536252684,14035.281718524331,8980.247188430967,12981.5907486034,13773.315787549926,15059.088325978464,12947.600037044787,14435.149959173765,13896.078083519038,13311.486581806941,13692.839037223424,13904.59944397137,13166.991998844804,13121.18046039055,18963.872382774687,16153.732174457662,16865.02616358785,15589.627690422443,13208.203905408622,14668.531999746192,13974.84660104827,22427.843067368092,15749.950704592236,10763.622301065949,13926.544971030453,11472.982155929138,17432.226509484357,21103.65665962052,14895.30131907863,12624.593558282608,14590.245911221917,11675.2657487537,12254.054507629067,11011.04139868915,17732.64227178042,32286.043095943554,14987.195446396458,20017.378287475727,14721.565808135772,15337.534892590293,30193.080807915525
2029-12-31,10676.920580932558,12548.898053641917,14257.360208471846,10430.772713832148,9823.060177851212,12264.27588384761,26780.634905063685,11708.285624671218,11604.174740025563,11798.38482013635,12679.835434110984,13703.22729435484,8869.623024245957,13207.847245582128,13730.606433121424,15089.460073950322,13154.354352256489,14159.483377602312,13852.099496659634,13498.993560909032,13892.335636924758,13963.909403880116,13296.10394829377,13237.25910578914,18860.340404671646,16128.199675097298,16917.977623333925,15859.108606208712,13379.622246284278,14587.206975306226,14195.00538179413,22151.84355463192,15385.198285963144,10529.423492012524,13940.80129535606,11484.498111419409,17646.88680085166,21413.83537832561,14959.13047771312,12653.690543417657,14785.488437498152,11821.630328123254,12190.292043964377,11052.169478791126,17469.7805298085,33294.21475274858,14798.336050968846,20339.575952200656,14666.97232643573,15125.014324551845,30594.918933249573
