year,ΕΒΡΟΥ,ΞΑΝΘΗΣ,ΡΟΔΟΠΗΣ,ΔΡΑΜΑΣ,ΚΑΒΑΛΑΣ,ΗΜΑΘΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΙΛΚΙΣ,ΠΕΛΛΗΣ,ΠΙΕΡΙΑΣ,ΣΕΡΡΩΝ,ΧΑΛΚΙΔΙΚΗΣ,ΓΡΕΒΕΝΩΝ,ΚΑΣΤΟΡΙΑΣ,ΚΟΖΑΝΗΣ,ΦΛΩΡΙΝΗΣ,ΚΑΡΔΙΤΣΗΣ,ΛΑΡΙΣΗΣ,ΜΑΓΝΗΣΙΑΣ,ΤΡΙΚΑΛΩΝ,ΑΡΤΗΣ,ΘΕΣΠΡΩΤΙΑΣ,ΙΩΑΝΝΙΝΩΝ,ΠΡΕΒΕΖΗΣ,ΖΑΚΥΝΘΟΥ,ΚΕΡΚΥΡΑΣ,ΚΕΦΑΛΛΗΝΙΑΣ,ΛΕΥΚΑΔΟΣ,ΑΙΤΩΛΙΑΣ_ΚΑΙ_ΑΚΑΡΝΑΝΙΑΣ,ΑΧΑΙΑΣ,ΗΛΕΙΑΣ,ΒΟΙΩΤΙΑΣ,ΕΥΒΟΙΑΣ,ΕΥΡΥΤΑΝΙΑΣ,ΦΘΙΩΤΙΔΟΣ,ΦΩΚΙΔΟΣ,ΑΡΓΟΛΙΔΟΣ,ΑΡΚΑΔΙΑΣ,ΚΟΡΙΝΘΙΑΣ,ΛΑΚΩΝΙΑΣ,ΜΕΣΣΗΝΙΑΣ,ΑΤΤΙΚΗ,ΛΕΣΒΟΥ,ΣΑΜΟΥ,ΧΙΟΥ,ΔΩΔΕΚΑΝΗΣΟΥ,ΚΥΚΛΑΔΩΝ,ΗΡΑΚΛΕΙΟΥ,ΛΑΣΙΘΙΟΥ,ΡΕΘΥΜΝΗΣ,ΧΑΝΙΩΝ
2002-12-31,144134,104099,106252,96234,138770,137751,1087329,80016,140526,118610,183282,104525,32091,50898,155647,49177,121182,287186,202938,134033,74370,42313,167249,58400,39794,106638,37716,23927,218881,320180,167285,119143,218267,19856,163628,41954,99037,93239,146790,89345,166226,3894259,103745,42315,53315,195604,120274,291398,74934,78679,144833
2003-12-31,144560,105221,106996,96442,138866,138295,1095721,80726,140779,119533,182954,104467,31761,51160,155214,49990,120423,287169,202751,133305,73812,42417,167821,58119,39971,106172,37626,23646,218094,319173,165848,118430,217109,19983,162671,40912,98746,92495,145936,88865,164883,3916875,103653,42489,53233,196799,120516,292471,74988,79385,146299
2004-12-31,144884,106219,107800,96556,139053,138761,1103632,80793,140864,120421,182487,104608,31541,51231,154746,50282,119438,287314,202984,132838,73277,42521,168343,57982,40050,105790,37603,23434,217203,318384,164628,118098,216263,20083,162153,40238,98624,91676,145415,88670,163829,3935254,103518,42560,53082,197927,120886,293742,74920,80129,147635
2005-12-31,145383,107300,108595,96778,139202,139248,1111060,80906,140999,121348,182078,104878,31468,51286,154248,50629,118526,287498,203130,132445,72719,42744,169129,57862,40231,105445,37688,23324,216479,317933,163563,117892,215611,20197,161798,39784,98490,91013,145034,88700,163013,3952793,103648,42578,52951,200432,121366,295371,74964,80979,149176
2006-12-31,145895,108294,109420,97005,139420,139769,1118880,80915,141175,122536,181760,105209,31329,51322,153823,50741,117707,287994,203671,132393,72210,42946,169940,57820,40392,105257,37813,23241,215850,317595,162606,117904,215291,20193,161718,39553,98441,90383,144923,88892,162468,3971441,104073,42378,52736,202759,121953,297286,74968,81774,150654
2007-12-31,146507,109224,110192,97460,139582,140622,1124921,80947,141412,123770,181655,105915,31377,51324,153410,50744,117343,288709,204494,132664,71918,43217,170693,57958,40599,105169,38059,23322,215664,317034,162203,118285,215433,20359,161422,39650,98541,90099,145283,89171,162405,3982602,103991,41959,52241,204598,122873,299140,75194,82666,151988
2008-12-31,147119,110001,110913,97696,139682,141289,1128970,80954,141790,124887,181367,106647,31394,51227,152955,51120,116847,289123,205062,132887,71566,43539,171207,58098,40685,105164,38272,23387,215247,316409,161893,118533,215410,20445,161376,39813,98650,89643,145719,89475,162405,3990727,103977,42226,52472,205642,123883,301083,75310,83465,153286
2009-12-31,147837,110939,111729,98167,139967,142044,1133889,80756,142102,126360,181287,107542,31423,51125,152638,51486,116608,289712,205963,133286,71204,43925,171730,58308,40855,105185,38603,23518,215037,316121,161832,119184,215907,20531,161531,40138,98725,89320,146583,89984,162558,3999457,104173,42551,52793,206641,125174,303484,75596,84508,154729
2010-12-31,147231,111854,112526,98460,140041,142835,1138290,81340,142344,127710,181033,108354,31513,51041,152129,51767,116344,290276,206779,133577,70782,44300,172314,58564,40937,105155,38901,23682,214810,315837,161622,119807,216571,20622,162078,40577,98855,89010,147474,90440,162692,4002871,104189,42884,53106,206328,126324,305833,75708,85449,156123
2011-12-31,147283,112534,113082,98690,139984,143287,1139647,81770,142285,128958,180267,109223,31605,50815,151573,51906,115968,290289,207639,133794,70232,44687,172675,58909,40950,105234,39200,23837,214270,315165,161469,120402,217067,20637,162537,41050,98996,88582,148193,90881,162950,3992912,104277,43192,53362,206698,127285,307717,75844,86284,157299
2012-12-31,147996,112870,113244,98571,139393,143302,1137093,81759,141894,129819,178866,109857,31531,50380,150429,51721,114755,289799,207734,133551,69492,44839,172314,58792,40826,105109,39221,23975,212961,313940,161034,120647,216670,20442,162525,41386,98919,87867,148549,90977,162732,3963887,104008,43117,53466,207367,127413,309131,75666,86684,157886
2013-12-31,147907,112770,112956,98129,138340,142898,1130229,81397,141193,130272,176604,110031,31365,49844,148746,51369,113258,288482,207089,132764,68451,44884,171243,58550,40573,104546,39173,23949,211090,311511,159982,120553,215718,20170,162041,41611,98541,86820,148604,90964,161934,3912849,103234,42813,53431,207348,127304,309743,75417,86829,158096
2014-12-31,147974,112635,112697,97758,137150,142559,1123676,81017,140495,130729,174686,110198,31200,49293,147155,51058,111916,287055,206486,132229,67489,44983,170236,58338,40401,104085,39175,24003,209335,309389,159003,120524,215045,19917,161781,41947,98181,85840,148786,91025,161323,3863763,102528,42633,53420,207434,127368,310361,75189,86997,158342
2015-12-31,147915,112532,112325,97466,136252,142063,1117094,80616,139818,131041,172909,110337,31052,48798,145774,50799,110704,285446,205911,131602,66611,45136,169240,58155,40283,103630,39150,23996,207674,307412,158177,120533,214123,19714,161230,42153,97883,84996,148824,90995,160733,3822843,102007,42356,53332,207659,127206,310784,74994,87150,158585
2016-12-31,147796,112275,112088,97041,135304,141436,1109969,80173,139105,131309,170929,110418,30817,48244,144309,50473,109390,283727,205295,131030,65657,45136,168169,57872,40070,103066,39038,23967,205901,305183,157174,120432,213046,19504,160530,42318,97552,84130,148645,90816,159883,3781274,101397,42058,53199,207746,127045,311096,74691,87260,158765
2017-12-31,147709,112112,111731,96836,134411,141517,1108085,80762,138583,131388,169242,110545,30628,47723,142941,50196,107984,282542,204738,130610,64798,45131,167432,57889,39938,102613,38945,23935,204159,303224,156587,121004,212764,19285,160278,42430,97257,83251,148540,90721,159413,3773559,106184,43523,53993,211425,126958,311640,74463,87482,159089
2018-12-31,147488,111885,111193,96760,133849,141403,1105663,80576,137872,131650,168245,110587,30622,47163,141559,49878,106535,281713,203972,129845,63924,45133,167407,57873,39806,102052,38807,23897,202288,301145,156037,121493,212828,19050,159798,42454,96942,82436,148187,90500,158684,3756453,108575,46222,56340,214013,126857,312514,74210,87510,159272
2019-12-31,147190,111631,110666,96845,133391,141585,1104690,80475,137181,131879,167374,110593,30588,46668,140233,49519,105403,281033,203162,129042,62973,45064,167696,57963,39737,101569,38718,23845,200617,298996,155576,122256,213067,18814,159387,42436,96564,81680,147739,90368,158096,3742235,114805,48238,58055,217241,126786,313766,74006,87582,159576
2020-12-31,147091,111385,110162,96925,133050,141789,1104023,80430,136549,132139,166583,110589,30629,46071,138817,49153,104145,280284,202401,128285,62091,45032,168087,58055,39621,101161,38567,23800,198920,296945,155200,122969,213190,18579,158926,42338,96156,80916,147290,90217,157572,3738901,120114,49961,59441,220683,126829,315162,73758,87691,159893
2021-12-31,146582,110868,109447,96133,131875,140838,1096665,79597,135412,131426,164544,110273,30292,45517,137455,48788,102815,278504,201204,127285,61245,44877,167121,57742,39565,100639,38435,23732,197233,295119,154318,122674,212225,18360,157779,42197,95607,80080,146702,90002,156954,3736737,119940,49845,59370,221098,126750,315393,73521,87829,160023
