;year;nomos;population_sarimax;population_sarimax_ci_lower;population_sarimax_ci_upper;births;births_sarimax_ci_lower;births_sarimax_ci_upper;deceases;deceases_ci_lower;deceases_ci_upper;weddings;weddings_ci_lower;weddings_ci_upper;gdp;gdp_ci_lower;gdp_ci_upper
0;2002;????????_???_??????????;218881;218881;218881;2124;2124;2124;2154;2154;2154;884;884;884;10363,93143;10363,93143;10363,93143
1;2003;????????_???_??????????;218094;218094;218094;1974;1974;1974;2392;2392;2392;949;949;949;11382,39985;11382,39985;11382,39985
2;2004;????????_???_??????????;217203;217203;217203;1940;1940;1940;2294;2294;2294;757;757;757;12763,07514;12763,07514;12763,07514
3;2005;????????_???_??????????;216479;216479;216479;2032;2032;2032;2288;2288;2288;913;913;913;13241,59592;13241,59592;13241,59592
4;2006;????????_???_??????????;215850;215850;215850;1969;1969;1969;2319;2319;2319;873;873;873;14011,05253;14011,05253;14011,05253
5;2007;????????_???_??????????;215664;215664;215664;1893;1893;1893;2350;2350;2350;923;923;923;14519,4318;14519,4318;14519,4318
6;2008;????????_???_??????????;215247;215247;215247;2120;2120;2120;2380;2380;2380;826;826;826;14761,00194;14761,00194;14761,00194
7;2009;????????_???_??????????;215037;215037;215037;2044;2044;2044;2318;2318;2318;932;932;932;14357,92197;14357,92197;14357,92197
8;2010;????????_???_??????????;214810;214810;214810;2004;2004;2004;2353;2353;2353;842;842;842;13748,01695;13748,01695;13748,01695
9;2011;????????_???_??????????;214270;214270;214270;1864;1864;1864;2470;2470;2470;831;831;831;12514,03996;12514,03996;12514,03996
10;2012;????????_???_??????????;212961;212961;212961;1735;1735;1735;2494;2494;2494;762;762;762;12143,29919;12143,29919;12143,29919
11;2013;????????_???_??????????;211090;211090;211090;1583;1583;1583;2360;2360;2360;780;780;780;12092,15998;12092,15998;12092,15998
12;2014;????????_???_??????????;209335;209335;209335;1557;1557;1557;2368;2368;2368;758;758;758;11650,03861;11650,03861;11650,03861
13;2015;????????_???_??????????;207674;207674;207674;1618;1618;1618;2523;2523;2523;801;801;801;11559,66252;11559,66252;11559,66252
14;2016;????????_???_??????????;205901;205901;205901;1589;1589;1589;2532;2532;2532;779;779;779;11400,01193;11400,01193;11400,01193
15;2017;????????_???_??????????;204159;204159;204159;1481;1481;1481;2610;2610;2610;792;792;792;11204,73055;11204,73055;11204,73055
16;2018;????????_???_??????????;202288;202288;202288;1493;1493;1493;2456;2456;2456;735;735;735;11696,87339;11696,87339;11696,87339
17;2019;????????_???_??????????;200617;200617;200617;1509;1509;1509;2650;2650;2650;737;737;737;11829,7423;11829,7423;11829,7423
18;2020;????????_???_??????????;198920;198920;198920;1491;1491;1491;2667;2667;2667;524;524;524;12107,53217;11453,98117;12761,08317
